date,continent,city,theme,is_global,importance
2024-10-02,Europe,Madrid,Brexit,False,0.58
2024-10-05,South America,Santiago,Amazon Rainforest,False,0.19
2024-09-19,Europe,Paris,Royal Families,False,0.52
2024-10-12,Africa,Johannesburg,Wildlife Conservation,False,0.95
2024-09-21,Africa,Casablanca,Safaris,False,0.21
2024-09-23,North America,Mexico City,Global Trade,True,0.76
2024-09-21,Oceania,Auckland,Rugby,False,0.83
2024-09-28,North America,Chicago,Technology Advancements,True,0.83
2024-09-29,Europe,London,Global Trade,True,0.75
2024-09-28,North America,New York,Hollywood,False,0.52
2024-09-19,Asia,Shanghai,Climate Change,True,0.7
2024-10-14,Asia,Bangkok,Sumo Wrestling,False,0.54
2024-09-17,South America,Buenos Aires,Carnival,False,0.14
2024-10-09,Oceania,Auckland,Kangaroos,False,0.75
2024-09-24,Asia,Shanghai,International Relations,True,0.94
2024-09-26,Europe,London,Champions League,False,0.88
2024-09-23,Oceania,Melbourne,Indigenous Rights,False,0.24
2024-10-04,North America,New York,Global Economy,True,0.25
2024-10-04,Europe,Madrid,Brexit,False,0.22
2024-10-12,South America,Buenos Aires,Cybersecurity,True,0.82
2024-09-17,South America,Buenos Aires,Latin Music,False,0.98
2024-09-23,Asia,Seoul,Silk Road,False,0.99
2024-10-02,Oceania,Brisbane,Climate Change,True,0.27
2024-10-15,South America,Santiago,Latin Music,False,0.63
2024-10-12,Oceania,Melbourne,Great Barrier Reef,False,0.21
2024-09-28,Africa,Lagos,Safaris,False,0.22
2024-09-21,Asia,Shanghai,Silk Road,False,0.9
2024-10-11,Europe,Berlin,Brexit,False,0.26
2024-10-09,Oceania,Perth,Global Trade,True,0.16
2024-10-07,Asia,Tokyo,K-pop,False,0.29
2024-09-30,Europe,Paris,Brexit,False,0.33
2024-09-25,Europe,London,Royal Families,False,0.19
2024-10-04,Europe,Madrid,European Union,False,0.22
2024-09-28,South America,Bogotá,Andes Mountains,False,0.62
2024-10-08,Africa,Casablanca,Nile River,False,0.17
2024-10-11,Asia,Seoul,Bollywood,False,0.79
2024-10-01,Asia,Seoul,Silk Road,False,0.79
2024-10-16,Europe,Madrid,Brexit,False,0.66
2024-09-20,North America,Mexico City,Wall Street,False,0.83
2024-10-14,Oceania,Brisbane,Great Barrier Reef,False,0.83
2024-09-21,Europe,Madrid,Art Exhibitions,False,0.35
2024-10-01,North America,Mexico City,US Politics,False,0.89
2024-10-09,South America,Buenos Aires,Latin Music,False,0.95
2024-10-08,Europe,London,Champions League,False,0.16
2024-09-30,Africa,Casablanca,African Union,False,0.58
2024-10-08,South America,Santiago,Latin Music,False,0.18
2024-09-28,North America,Chicago,Hollywood,False,0.88
2024-10-16,Africa,Nairobi,International Relations,True,0.14
2024-10-07,Oceania,Perth,Global Economy,True,0.64
2024-10-06,Africa,Lagos,African Union,False,0.78
2024-09-22,Oceania,Auckland,Artificial Intelligence,True,0.88
2024-09-25,South America,Santiago,Latin Music,False,0.23
2024-09-21,South America,Bogotá,Andes Mountains,False,0.88
2024-10-11,Africa,Casablanca,Artificial Intelligence,True,0.1
2024-10-09,North America,Toronto,Hollywood,False,0.27
2024-10-11,Africa,Lagos,Wildlife Conservation,False,0.68
2024-10-16,Africa,Johannesburg,Wildlife Conservation,False,0.33
2024-09-28,Africa,Casablanca,Safaris,False,0.22
2024-09-27,Africa,Lagos,Safaris,False,0.87
2024-09-19,Oceania,Auckland,Outback,False,0.8
2024-10-01,Africa,Nairobi,Sahara Desert,False,0.74
2024-10-17,Africa,Lagos,Sahara Desert,False,0.71
2024-09-25,Africa,Johannesburg,Renewable Energy,True,0.8
2024-09-23,South America,Buenos Aires,Soccer,False,0.21
2024-09-22,North America,New York,NFL,False,0.46
2024-09-18,South America,São Paulo,Amazon Rainforest,False,0.29
2024-10-05,Oceania,Auckland,Outback,False,0.14
2024-09-20,Oceania,Sydney,Health and Pandemics,True,0.84
2024-09-28,South America,Bogotá,Soccer,False,0.9
2024-09-17,South America,Santiago,Latin Music,False,0.38
2024-09-21,Africa,Casablanca,Wildlife Conservation,False,0.11
2024-10-13,North America,New York,Global Trade,True,0.23
2024-10-16,Asia,Shanghai,Space Exploration,True,0.36
2024-10-09,North America,Mexico City,Silicon Valley,False,0.56
2024-10-07,Europe,Paris,Royal Families,False,0.41
2024-10-09,Europe,London,Art Exhibitions,False,0.37
2024-10-02,South America,Buenos Aires,Health and Pandemics,True,0.95
2024-10-08,South America,Lima,Amazon Rainforest,False,0.48
2024-09-23,Europe,Rome,European Union,False,0.52
2024-10-17,Europe,Rome,Royal Families,False,0.98
2024-09-25,South America,Lima,Amazon Rainforest,False,0.3
2024-09-27,North America,New York,Global Trade,True,0.95
2024-09-20,North America,Toronto,US Politics,False,0.66
2024-10-08,Asia,Seoul,K-pop,False,0.37
2024-10-08,Oceania,Sydney,Indigenous Rights,False,0.85
2024-09-21,Africa,Lagos,Space Exploration,True,0.64
2024-10-16,Asia,Tokyo,K-pop,False,0.29
2024-10-08,North America,Chicago,Technology Advancements,True,0.59
2024-09-21,North America,Mexico City,Silicon Valley,False,0.51
2024-09-30,North America,Chicago,NFL,False,0.65
2024-10-06,North America,Mexico City,Hollywood,False,0.13
2024-10-17,Africa,Lagos,International Relations,True,0.48
2024-09-18,North America,Los Angeles,Wall Street,False,0.92
2024-09-30,North America,New York,US Politics,False,0.23
2024-10-16,Oceania,Brisbane,Indigenous Rights,False,0.58
2024-10-09,Oceania,Auckland,Renewable Energy,True,0.91
2024-10-12,Oceania,Melbourne,Technology Advancements,True,0.52
2024-10-15,Oceania,Brisbane,Outback,False,0.95
2024-10-06,South America,São Paulo,Latin Music,False,0.76
2024-10-11,Asia,Bangkok,Sumo Wrestling,False,0.94
2024-10-04,Oceania,Sydney,Rugby,False,0.83
2024-09-18,Europe,Paris,Art Exhibitions,False,0.64
2024-10-15,Africa,Cairo,Safaris,False,0.38
2024-09-21,Europe,Madrid,European Union,False,0.51
2024-10-16,North America,Chicago,Global Economy,True,0.89
2024-10-16,South America,Santiago,International Relations,True,0.87
2024-10-06,Asia,Bangkok,Technology Advancements,True,0.93
2024-10-14,Asia,Tokyo,Global Trade,True,0.31
2024-10-06,Asia,Shanghai,Bollywood,False,0.25
2024-09-24,Oceania,Brisbane,International Relations,True,0.16
2024-10-08,Oceania,Melbourne,Outback,False,0.17
2024-09-18,South America,Buenos Aires,Andes Mountains,False,0.97
2024-09-22,Africa,Johannesburg,Nile River,False,0.52
2024-09-19,Asia,Shanghai,K-pop,False,0.64
2024-10-03,South America,São Paulo,Global Economy,True,0.26
2024-10-12,Asia,Shanghai,Space Exploration,True,0.14
2024-09-25,Asia,Tokyo,K-pop,False,0.51
2024-10-02,North America,Los Angeles,Renewable Energy,True,0.2
2024-10-14,Africa,Nairobi,Global Trade,True,0.28
2024-09-22,Asia,Shanghai,Climate Change,True,0.71
2024-10-07,Africa,Cairo,International Relations,True,0.62
2024-09-20,North America,Toronto,Hollywood,False,0.63
2024-10-17,Oceania,Perth,Cybersecurity,True,0.88
2024-10-11,Asia,Tokyo,Global Trade,True,0.27
2024-09-18,Europe,Madrid,Royal Families,False,0.59
2024-09-21,Europe,Paris,European Union,False,0.66
2024-09-23,South America,Lima,Soccer,False,0.63
2024-09-19,North America,Toronto,NFL,False,0.7
2024-09-25,North America,Mexico City,Health and Pandemics,True,0.39
2024-09-25,Europe,Madrid,Art Exhibitions,False,0.89
2024-10-12,Europe,Rome,Cybersecurity,True,0.77
2024-09-20,Asia,Seoul,K-pop,False,0.1
2024-09-17,Europe,Berlin,Cybersecurity,True,0.8
2024-09-23,Asia,Seoul,International Relations,True,0.52
2024-10-07,Europe,Madrid,Renewable Energy,True,0.37
2024-10-09,Asia,Shanghai,Technology Advancements,True,0.96
2024-09-19,Africa,Johannesburg,Renewable Energy,True,0.14
2024-09-20,Europe,Paris,Art Exhibitions,False,0.13
2024-10-06,North America,Mexico City,Silicon Valley,False,0.91
2024-10-04,Europe,Paris,Art Exhibitions,False,0.36
2024-10-03,North America,Mexico City,Hollywood,False,0.19
2024-10-12,Asia,Seoul,K-pop,False,0.71
2024-09-27,North America,Chicago,Health and Pandemics,True,0.49
2024-10-07,North America,New York,Renewable Energy,True,0.67
2024-10-04,Europe,Berlin,European Union,False,0.57
2024-10-01,South America,Santiago,Latin Music,False,0.61
2024-09-21,Europe,Berlin,Climate Change,True,0.78
2024-10-02,North America,Los Angeles,Wall Street,False,0.65
2024-09-24,Asia,Tokyo,K-pop,False,0.29
2024-10-07,North America,Mexico City,Hollywood,False,0.87
2024-09-30,Oceania,Brisbane,Great Barrier Reef,False,0.34
2024-09-29,North America,Mexico City,Hollywood,False,0.68
2024-09-23,Europe,London,Cybersecurity,True,0.43
2024-10-13,Europe,Paris,Art Exhibitions,False,0.95
2024-10-03,Africa,Casablanca,International Relations,True,0.37
2024-09-22,Oceania,Auckland,Kangaroos,False,0.24
2024-10-04,Asia,Bangkok,Sumo Wrestling,False,0.87
2024-10-08,Africa,Cairo,Wildlife Conservation,False,0.25
2024-09-24,Africa,Cairo,Global Trade,True,0.93
2024-10-03,Oceania,Sydney,Global Trade,True,0.5
2024-09-25,Oceania,Auckland,Indigenous Rights,False,0.14
2024-09-27,Africa,Lagos,African Union,False,0.46
2024-10-03,Europe,London,Global Economy,True,0.25
2024-09-21,North America,New York,NFL,False,0.51
2024-10-13,South America,Santiago,Andes Mountains,False,0.9
2024-10-10,North America,New York,Global Economy,True,0.68
2024-09-18,Asia,Tokyo,Climate Change,True,0.67
2024-09-26,North America,Toronto,Silicon Valley,False,0.57
2024-10-12,Asia,Tokyo,International Relations,True,0.78
2024-09-18,South America,Buenos Aires,Artificial Intelligence,True,0.18
2024-10-10,Asia,Bangkok,Sumo Wrestling,False,0.64
2024-09-28,Oceania,Auckland,Great Barrier Reef,False,0.22
2024-10-04,Europe,London,Champions League,False,0.14
2024-10-15,Europe,Madrid,Champions League,False,0.29
2024-09-19,Africa,Nairobi,Health and Pandemics,True,0.11
2024-10-12,Europe,Madrid,Art Exhibitions,False,0.75
2024-09-26,Oceania,Auckland,Indigenous Rights,False,0.27
2024-09-27,Oceania,Auckland,Indigenous Rights,False,0.59
2024-10-09,Europe,Berlin,Royal Families,False,0.49
2024-09-17,North America,New York,US Politics,False,0.91
2024-10-13,Oceania,Auckland,Rugby,False,0.93
2024-10-13,South America,Santiago,Global Trade,True,0.93
2024-10-17,Asia,Shanghai,K-pop,False,0.53
2024-10-15,North America,Mexico City,US Politics,False,0.76
2024-10-11,Oceania,Sydney,Indigenous Rights,False,0.27
2024-10-04,Africa,Johannesburg,Climate Change,True,0.65
2024-09-21,Europe,Paris,Champions League,False,0.99
2024-09-20,Europe,London,Champions League,False,0.88
2024-09-29,Oceania,Brisbane,Outback,False,0.15
2024-10-15,Europe,Madrid,Art Exhibitions,False,0.36
2024-10-08,Europe,Madrid,European Union,False,0.25
2024-09-19,Africa,Casablanca,Safaris,False,0.84
2024-10-15,Asia,Tokyo,Silk Road,False,0.49
2024-09-24,Asia,Bangkok,Silk Road,False,0.54
2024-09-22,Asia,Shanghai,Great Wall,False,0.6
2024-10-13,North America,Toronto,US Politics,False,0.21
2024-10-10,Europe,Berlin,Champions League,False,0.83
2024-10-13,South America,Bogotá,Andes Mountains,False,0.15
2024-10-06,Africa,Lagos,Wildlife Conservation,False,0.48
2024-10-03,Europe,Paris,Art Exhibitions,False,0.71
2024-09-25,Europe,Rome,Champions League,False,0.68
2024-10-15,Asia,Seoul,Great Wall,False,0.8
2024-09-26,Africa,Cairo,Sahara Desert,False,0.32
2024-10-09,Oceania,Perth,Great Barrier Reef,False,0.39
2024-09-26,Asia,Mumbai,K-pop,False,0.6
2024-10-10,Africa,Lagos,International Relations,True,0.37
2024-09-18,Europe,Rome,Royal Families,False,0.38
2024-10-02,Oceania,Auckland,Indigenous Rights,False,0.34
2024-10-08,North America,Mexico City,US Politics,False,0.84
2024-10-08,South America,Santiago,Cybersecurity,True,0.77
2024-10-16,South America,São Paulo,Latin Music,False,0.18
2024-10-01,Africa,Johannesburg,Wildlife Conservation,False,0.51
2024-10-13,Africa,Lagos,African Union,False,0.98
2024-10-09,North America,Chicago,Climate Change,True,0.5
2024-09-30,Oceania,Brisbane,Artificial Intelligence,True,0.15
2024-10-01,Europe,Madrid,Climate Change,True,0.45
2024-10-15,South America,Santiago,Carnival,False,0.14
2024-10-12,North America,Los Angeles,Cybersecurity,True,0.23
2024-09-18,North America,Chicago,US Politics,False,0.57
2024-10-09,Europe,Paris,Brexit,False,0.96
2024-10-15,Europe,Paris,Brexit,False,0.33
2024-09-18,Europe,Rome,Brexit,False,0.49
2024-10-06,Asia,Mumbai,Silk Road,False,0.71
2024-10-08,Asia,Bangkok,Great Wall,False,0.46
2024-09-30,North America,New York,Silicon Valley,False,0.47
2024-09-23,Asia,Mumbai,Global Trade,True,0.26
2024-09-29,North America,Mexico City,NFL,False,0.36
2024-09-22,Africa,Lagos,Technology Advancements,True,0.43
2024-09-22,Oceania,Sydney,Rugby,False,0.21
2024-10-06,Oceania,Brisbane,Great Barrier Reef,False,0.67
2024-10-13,North America,Los Angeles,Cybersecurity,True,0.13
2024-09-23,Oceania,Melbourne,Rugby,False,0.58
2024-09-26,Oceania,Auckland,Health and Pandemics,True,0.97
2024-10-14,South America,Buenos Aires,Amazon Rainforest,False,0.78
2024-09-26,Asia,Shanghai,Silk Road,False,0.84
2024-09-18,South America,Buenos Aires,Andes Mountains,False,0.24
2024-09-28,Africa,Cairo,Nile River,False,0.92
2024-09-24,Oceania,Sydney,Great Barrier Reef,False,0.75
2024-10-01,North America,Chicago,US Politics,False,0.96
2024-10-08,Africa,Johannesburg,Safaris,False,0.17
2024-09-23,North America,Toronto,Hollywood,False,0.24
2024-10-10,Africa,Casablanca,Renewable Energy,True,0.68
2024-10-17,Oceania,Brisbane,Indigenous Rights,False,0.56
2024-10-10,North America,Mexico City,Renewable Energy,True,0.64
2024-10-04,North America,Toronto,Hollywood,False,1.0
2024-09-30,South America,Santiago,Health and Pandemics,True,0.97
2024-10-17,Africa,Nairobi,Renewable Energy,True,0.55
2024-10-17,South America,Santiago,Amazon Rainforest,False,0.78
2024-09-27,South America,Santiago,Amazon Rainforest,False,0.98
2024-09-23,South America,Bogotá,Andes Mountains,False,0.32
2024-09-24,Asia,Mumbai,Artificial Intelligence,True,0.58
2024-09-25,Oceania,Brisbane,Rugby,False,0.85
2024-09-22,Europe,London,Technology Advancements,True,0.22
2024-10-04,Oceania,Auckland,Health and Pandemics,True,0.36
2024-10-11,Africa,Nairobi,Sahara Desert,False,0.2
2024-10-11,Europe,Paris,European Union,False,0.27
2024-09-18,Oceania,Melbourne,Great Barrier Reef,False,0.81
2024-09-19,North America,Chicago,Silicon Valley,False,0.13
2024-10-08,Oceania,Perth,Indigenous Rights,False,0.56
2024-09-25,Oceania,Auckland,Great Barrier Reef,False,0.42
2024-10-10,Africa,Cairo,Sahara Desert,False,0.51
2024-09-26,Europe,Paris,Global Economy,True,0.92
2024-09-28,North America,Chicago,Wall Street,False,0.52
2024-10-09,North America,New York,NFL,False,0.86
2024-10-06,Africa,Johannesburg,Sahara Desert,False,0.46
2024-10-15,Europe,London,European Union,False,0.14
2024-10-07,South America,Santiago,Andes Mountains,False,0.97
2024-10-11,Asia,Shanghai,Cybersecurity,True,0.86
2024-10-10,North America,Chicago,Hollywood,False,0.94
2024-10-05,Africa,Lagos,Cybersecurity,True,0.5
2024-09-29,North America,Toronto,Silicon Valley,False,0.39
2024-09-30,Europe,Berlin,Royal Families,False,0.97
2024-10-06,Europe,Paris,Art Exhibitions,False,0.85
2024-10-07,South America,Santiago,Carnival,False,0.41
2024-09-21,Asia,Shanghai,Great Wall,False,0.39
2024-09-30,Africa,Cairo,Sahara Desert,False,0.96
2024-09-17,South America,Bogotá,Amazon Rainforest,False,0.25
2024-09-25,Oceania,Perth,Great Barrier Reef,False,0.13
2024-09-23,Oceania,Brisbane,Great Barrier Reef,False,0.73
2024-10-09,Africa,Cairo,African Union,False,0.29
2024-09-19,Oceania,Brisbane,Rugby,False,0.22
2024-09-19,Asia,Tokyo,Bollywood,False,0.25
2024-10-04,Oceania,Perth,Artificial Intelligence,True,0.94
2024-10-05,South America,Lima,Andes Mountains,False,0.74
2024-10-09,Europe,Rome,European Union,False,0.76
2024-09-17,Asia,Seoul,Silk Road,False,0.99
2024-09-23,Africa,Nairobi,Climate Change,True,0.42
2024-10-08,Europe,Rome,Royal Families,False,0.24
2024-09-20,Europe,Paris,Royal Families,False,0.97
2024-09-22,Oceania,Perth,Kangaroos,False,0.89
2024-10-04,Asia,Seoul,Silk Road,False,0.64
2024-10-05,North America,Toronto,Hollywood,False,0.81
2024-10-16,Asia,Tokyo,Health and Pandemics,True,0.56
2024-10-16,South America,Bogotá,Andes Mountains,False,0.22
2024-10-04,Europe,Paris,European Union,False,0.81
2024-09-23,Asia,Seoul,Great Wall,False,0.57
2024-09-30,North America,Mexico City,Cybersecurity,True,0.49
2024-10-08,South America,Bogotá,Amazon Rainforest,False,0.81
2024-09-29,Asia,Bangkok,K-pop,False,0.93
2024-09-17,Europe,Berlin,Champions League,False,0.28
2024-10-14,Europe,Paris,Artificial Intelligence,True,0.32
2024-09-20,Europe,Berlin,Global Economy,True,0.97
2024-09-22,South America,São Paulo,Latin Music,False,0.69
2024-10-13,Asia,Mumbai,Health and Pandemics,True,0.63
2024-10-10,South America,Santiago,Global Economy,True,0.42
2024-09-21,Oceania,Melbourne,Great Barrier Reef,False,0.62
2024-10-10,Oceania,Melbourne,Technology Advancements,True,0.99
2024-09-28,Africa,Lagos,African Union,False,0.8
2024-10-05,Oceania,Auckland,Indigenous Rights,False,0.77
2024-09-20,North America,New York,Hollywood,False,0.67
2024-10-11,Africa,Lagos,Nile River,False,0.59
2024-09-30,Africa,Johannesburg,Wildlife Conservation,False,0.61
2024-10-01,South America,Bogotá,Cybersecurity,True,0.3
2024-10-10,Africa,Cairo,International Relations,True,0.31
2024-09-23,Africa,Lagos,Nile River,False,0.93
2024-09-19,South America,Buenos Aires,Latin Music,False,0.85
2024-10-07,Oceania,Brisbane,Great Barrier Reef,False,0.83
2024-09-23,Asia,Seoul,Great Wall,False,0.45
2024-10-06,Oceania,Perth,Great Barrier Reef,False,0.64
2024-10-01,Africa,Johannesburg,Nile River,False,0.52
2024-10-15,Africa,Johannesburg,Artificial Intelligence,True,0.14
2024-09-17,Asia,Mumbai,K-pop,False,0.92
2024-10-01,Asia,Mumbai,International Relations,True,0.58
2024-09-24,Africa,Casablanca,Renewable Energy,True,0.74
2024-10-09,Oceania,Brisbane,Rugby,False,0.82
2024-09-29,Africa,Nairobi,Climate Change,True,0.86
2024-09-27,Asia,Tokyo,Renewable Energy,True,0.98
2024-09-24,North America,Chicago,Hollywood,False,0.99
2024-09-28,South America,Santiago,Latin Music,False,0.36
2024-09-30,North America,Los Angeles,Silicon Valley,False,0.29
2024-09-20,Asia,Tokyo,Sumo Wrestling,False,0.75
2024-09-24,South America,Bogotá,Global Trade,True,0.12
2024-09-26,Asia,Shanghai,Renewable Energy,True,0.66
2024-09-17,Asia,Bangkok,Silk Road,False,0.34
2024-09-20,Oceania,Brisbane,Health and Pandemics,True,0.69
2024-10-16,Oceania,Sydney,Indigenous Rights,False,0.17
2024-10-05,Europe,Rome,Champions League,False,0.68
2024-09-26,Europe,Madrid,Brexit,False,0.99
2024-10-05,Asia,Bangkok,Health and Pandemics,True,0.25
2024-09-23,South America,Santiago,Global Economy,True,0.42
2024-10-11,South America,Santiago,Global Trade,True,0.55
2024-10-02,Asia,Mumbai,Bollywood,False,0.71
2024-10-10,Africa,Cairo,Artificial Intelligence,True,0.3
2024-10-15,Africa,Casablanca,Global Trade,True,0.36
2024-10-09,Europe,London,Royal Families,False,0.36
2024-10-13,North America,Mexico City,US Politics,False,0.15
2024-10-15,Asia,Tokyo,Great Wall,False,0.32
2024-10-06,South America,Bogotá,Latin Music,False,0.2
2024-10-11,Oceania,Sydney,Outback,False,0.61
2024-10-09,Africa,Lagos,Nile River,False,0.59
2024-10-08,Oceania,Perth,Outback,False,0.69
2024-10-06,North America,Mexico City,Hollywood,False,0.29
2024-09-24,South America,Bogotá,Carnival,False,0.5
2024-09-23,Asia,Shanghai,Bollywood,False,0.58
2024-09-29,Europe,Rome,Brexit,False,0.13
2024-10-06,North America,Los Angeles,US Politics,False,0.67
2024-10-15,Europe,Rome,Brexit,False,0.16
2024-09-30,Asia,Seoul,Silk Road,False,0.19
2024-09-28,North America,Chicago,Hollywood,False,0.36
2024-09-29,Europe,Rome,Art Exhibitions,False,0.15
2024-09-29,Asia,Mumbai,K-pop,False,0.75
2024-10-01,Europe,London,Artificial Intelligence,True,0.17
2024-10-07,Africa,Cairo,African Union,False,0.9
2024-10-09,South America,Lima,Artificial Intelligence,True,0.64
2024-09-21,South America,Santiago,Latin Music,False,0.18
2024-10-12,North America,Los Angeles,Silicon Valley,False,0.87
2024-09-25,Oceania,Sydney,Rugby,False,0.6
2024-10-17,Africa,Casablanca,Nile River,False,0.14
2024-09-18,Oceania,Brisbane,Health and Pandemics,True,0.83
2024-09-27,Africa,Cairo,Wildlife Conservation,False,0.37
2024-09-20,Asia,Tokyo,Sumo Wrestling,False,0.3
2024-10-01,Oceania,Sydney,Indigenous Rights,False,0.4
2024-09-17,North America,New York,Wall Street,False,0.34
2024-09-27,Europe,Madrid,Brexit,False,0.75
2024-09-19,Oceania,Perth,Outback,False,0.2
2024-09-22,Oceania,Auckland,Kangaroos,False,0.29
2024-09-22,Oceania,Melbourne,Indigenous Rights,False,0.62
2024-09-21,Asia,Seoul,Sumo Wrestling,False,0.2
2024-10-03,Europe,Paris,Art Exhibitions,False,0.96
2024-10-13,South America,Santiago,Health and Pandemics,True,0.33
2024-09-21,Europe,Berlin,Art Exhibitions,False,0.95
2024-10-05,South America,Bogotá,Amazon Rainforest,False,0.32
2024-09-19,Africa,Johannesburg,Safaris,False,0.55
2024-09-24,Europe,Madrid,European Union,False,0.72
2024-10-15,North America,Mexico City,Silicon Valley,False,0.13
2024-10-13,North America,Toronto,US Politics,False,0.58
2024-10-16,South America,Lima,Health and Pandemics,True,0.3
2024-09-25,Oceania,Brisbane,Cybersecurity,True,0.98
2024-10-02,Europe,Rome,Champions League,False,0.44
2024-10-11,North America,Toronto,Global Economy,True,0.5
2024-10-05,Oceania,Auckland,Great Barrier Reef,False,0.98
