document_id,cluster
" its first decline in three months. The study found that the outlook in both the manufacturing and retail sectors had worsened. Observers had been hoping that a more confident business sector would signal that economic activity was picking up.  ""We're surprised that the Ifo index has taken such a knock",6
" the UN's Food & Agriculture Organisation has warned.  Trade barriers and subsidies ""severely"" distort the market",6
 Commerce and Industry Minister,1
 as it tries to regain its position as the industry's leading manufacturer.  The 777-200LR will be capable of flying almost 11,6
 the second-largest electronics retailer in the US,6
 its central bank says.  The country's economy has suffered from an overhang of personal debt after its consumers' credit card spending spree. Card use fell sharply last year,6
 upsetting hopes of a sustained recovery.  The figures confounded hopes of a 0.2% expansion in the fourth quarter in Europe's biggest economy. The Federal Statistics Office said growth for the whole of 2004 was 1.6%,6
 which was justified on national security grounds,6
 the economy is performing well below its potential,6
 part of an alliance agreed in 2000. GM,6
 Bracknell-based Exel is currently valued at £2.6bn ($6.3bn).  Exel employs 109,9
 the court has heard.  The unit,6
 who is accused of overseeing an $11bn (£5.8bn) fraud,6
 the world's second largest,6
 expanding at an annual rate of 3.8% in the last quarter of 2004.  The gross domestic product figure was ahead of the 3.1% the government estimated a month ago. The rise reflects stronger spending by businesses on capital equipment and a smaller-than-expected trade deficit. GDP is a measure of a country's economic health,6
000; £486,6
 granted by government owned oil firms,6
 the Financial Times Deutschland reported.  The IMF will also reduce its growth estimate for the 12-member eurozone economy from 2.2% to 1.6%,6
 Ford cut output as sales fall	 US car firms General Motors (GM) and Ford have been forced to cut production in the face of falling car sales.  US sales at GM sank 12.7% in February compared to a year ago while Ford sales dropped 3% as foreign rivals took a bigger share of the market. Meanwhile,6
 their first upwards move in more than a year. However,6
 Titan was trying to get a higher price for a telecommunications project in Benin. There is no suggestion that Mr Kerekou was himself aware of any wrongdoing. Titan,9
500 jobs	 Up to 2,6
000,9
 according to his former chief economic adviser.  Formerly one of Mr Brown's closest Treasury aides,6
 but at a slower pace than in January,6
 a rise in discounted retailers and a wet European summer. The company also cited difficult trading conditions and a lack of demand for goods such as its Slimfast range. Unilever,6
 leading to a 10% increase in its revenues. Increased take-up of broadband telecoms services also boosted France Telecom's profits,6
 Scott Sullivan said he lied to the board to cover up the hole in WorldCom's finances. Mr Ebbers is on trial for fraud and conspiracy in relation to WorldCom's collapse in 2002. He pleads not guilty. The firm had been overstating its accounts by $11bn (£8.5bn). Mr Sullivan,6
 and Daiwa Securities jumped amid speculation that two of Japan's biggest financial companies will merge.  Financial newspaper Nihon Keizai Shimbun claimed that the firms will join up next year and already have held discussions with Japanese regulators. The firms denied that they are about to link up,6
 however,9
 suggesting the MPC is waiting for a clearer picture to emerge. Economists see next week's inflation report from the MPC as key in assessing whether a further interest rate rise is necessary to keep the economy in check.  Slower consumer spending and a quieter housing market are likely to have convinced the MPC that rates should be left unchanged in recent months. Inflation,6
000 tonnes this year to 600,6
 the private firm which runs the five tube lines in the city,6
 up from A$246bn the year before. It is currently arguing against an offer from Swiss Xstrata,9
 the UK's third-biggest bank,6
 Yugansk,6
 saying it wants to significantly boost nationwide coverage over the next decade.  Bids have been invited from local,9
" said Mr Mukerjee. We are keen to welcome international collaborations that are in conformity with our national goals.""  Lockheed said it had signed an agreement with state-owned Hindustan Aeronautics (HAL) to share information on the P-3 Orion maritime surveillance aircraft.  In fact",6
000 jobs in October - a seven-month high and far more than Wall Street expectations.  In a welcome economic boost for newly re-elected President George W Bush,6
 Viktor Yushchenko,6
 given such high prices,6
 the UK's Corus and France's Arcleor fell while Japan's Nippon Steel slid after it agreed to pay 72% more for iron ore. China's Baoshan Iron and Steel Co. said it was delaying a share sale because of weak market conditions,6
 the firm's chief has told BBC News.  Speaking at a BMW event ahead of the Geneva motor show,9
 with South Korea the fourth largest. The dollar was buying 104.76 yen at 0950 GMT,6
 Cadbury Schweppes,6
 US light crude fell 32 cents to $51.43 a barrel. He said that high oil prices meant Opec was unlikely to stick to its plan to cut output in the second quarter. In London,9
 once among the most profitable of US grocers,6
 while the limit on other kinds of bank remains at 30%. RHB,9
 unions at the Italian carmaker have said.  The unions claim Fiat is to close the Fiat Powertrain plant at Arese near Milan and instead source six-cylinder engines from General Motors. Fiat has yet to comment on the matter,9
 the world's largest car maker,6
 shares in Ireland-based Elan lost 70% while US partner Biogen Idec shed 43%. The firms took action after the death from a central nervous system disease and a suspected case of the condition. The cases cited involved the use of both Tysabri and Avonex,6
 minutes have shown.  One member of the Bank's Monetary Policy Committee (MPC) - Paul Tucker - voted to raise rates to 5%. The news surprised some analysts who had expected the latest minutes to show another unanimous decision. Worries over growth rates and consumer spending were behind the decision to freeze rates,6
 where stocks are low. Fresh falls in the value of the dollar helped carry prices above the $50 mark for the first time since November. A barrel of US crude oil closed up $2.80 to $51.15 in New York on Tuesday. Opec members said on Tuesday that it saw no reason to cut its output.  Although below last year's peak of $55.67 a barrel,6
" which allows him to borrow only for investment.  The extra leeway came after the Office for National Statistics said it had been measuring road expenditure data wrongly over the past five years. It comes just weeks ahead of the Budget and an expected general election. Shadow chancellor Oliver Letwin said: ""At best the timing of these changes is very convenient for the government.""  A review by the ONS found it had made a mistake by ""double counting"" some spending on roads since 1998/9. Correcting the error would mean reducing current expenditure and increasing net investment",9
 Bloomingdale's and Marshall Field's,6
 with Qatar's state oil firm owning the rest. The agreement is the latest in a string of deals reached by Qatar,9
 which he said would be 4.5% of GDP in the year to March 2005. The country's overall deficit is thought to be more than 10%,6
 as part of a partnership agreement. But Fiat's heavy losses have convinced GM - whose own European operations are in the red - to back away. The pay-off means the two firms will unwind joint ventures,9
000 (£131,9
 reports say.  The two firms are expected to seal the deal on Monday morning,9
 according to government data.  New figures show the Labor Department producer price index (PPI) rose by 0.3% - in line with forecasts. But core producer prices,6
 its unit Gazpromneft,6
 helped by strong consumer spending,6
 backed by business groups,6
 business lobby group the CBI says.  A CBI quarterly survey found output had risen by the fastest rate in seven years but many firms were seeing the benefits offset by increasing expenses. The CBI also found spending on innovation,6
 India's biggest airline,9
 according to figures from the Office of the Deputy Prime Minister.  Nationally,6
 the German stock exchange that is trying to buy its London rival,9
 according to a new report.  The eight central European states which joined the EU last year will see 4.6% growth,6
 a figure which bodes well for the country's economic growth,6
 Ambassador Stefan Johannesson of Iceland,9
 who own a 29% stake in Manchester United,9
 which has about $200bn in foreign reserves,6
 part of a pact which could see India invest up to $20bn in oil and gas projects.  On the agenda are oil and gas extraction as well as transportation deals,6
 while consumer confidence fell unexpectedly in October. At the same time,6
 many companies will be focusing on matters much closer to home - namely how to stay in business.  Lille is a popular tourist destination for Britons who want a taste of France at the weekend. But how many tourists look at the impressively grand Victorian Chambre de Commerce,6
 analysts said.  Merck voluntarily stopped sales of Vioxx on 30 September,6
 a Houston court has been told.  Legal expert William Butler said there was no treaty between the US and Russia to recognise the other's legal rulings. That meant Moscow would not have to adhere to US rulings in the Yukos case. Yukos says a US court was entitled to declare it bankrupt before its Yugansk unit was sold,6
 Germany's only stock-market listed football club,6
" Mr Sullivan said, referring to the first false entries in late 2000, I knew it was wrong and I knew it was against the law",9
 a court has ruled.  The mill,6
 but its shares were hit in December following a disappointing drilling update. December's share fall means that Cairn is still in danger of being relegated from the FTSE 100 when the index is reshuffled next month. Cairn's shares closed up 64 pence,9
 Mikhail Saakashvili,1
 who receive money from overseas,6
 which last month forecast record sales for 2005,6
 hoping to get a better deal.  The lawsuit was filed on Friday after Qwest Communications,9
" Reuters says.  The Sunday Times reported that hedge funds TCI and Atticus were planning to demand the removal of the group's chairman and chief executive. But Deutsche Boerse told news agency Reuters such a move would have to wait until May's annual general meeting. Investors want Deutsche to return cash to shareholders rather than bid. ""We are long-term investors and are experienced in removing management. We are not scared to take this to its conclusion this time",9
 seeking large cuts in domestic spending to lower the deficit.  About 150 federal programs could be cut or axed altogether as part of a $2.5 trillion (£1.3 trillion) package aimed at curbing the giant US budget deficit. Defence spending will rise,6
 Europe's largest mutual life insurer,6
 and club manager Sir Alex Ferguson,1
 the IMF may be able to sell billions of dollars of gold and use the cash to cancel debts owed by the world's poorest nations. The plan was put forward by G7 finance ministers over the weekend. The price of gold fell to $413.50 an ounce in Asia,6
 according to a report.  Optimism is at its highest since 1997 and business will reap the benefits of a continuing rise in public spending,6
" William Donaldson promised ""several initiatives"". European firms have protested that US laws introduced after the Enron scandal make Wall Street listings too costly. The US regulator said foreign firms may get extra time to comply with a key clause in the Sarbanes-Oxley Act.  The Act comes into force in mid-2005. It obliges all firms with US stock market listings to make declarations",6
 its highly successful boss,9
000 cases mentioned last week,6
 which owns a 1% stake in Deutsche Boerse,9
 rival Shell reported an annual profit of $17.5bn - a record profit for a UK-listed company. BP added that it was increasing its fourth-quarter dividend by 26% to 8.5 cents,6
 a big investor,6
 although the deal is subject to certain conditions. BLB holds a 22% stake in Wembley and last year came close to buying the whole firm in a £308m takeover deal. Shares in Wembley were up 56 pence,1
 a survey has found.  Stores received a boost from bargain hunters but trading then reverted to December levels,6
 the world's largest restaurant chain,6
000 jobs lost from the sector over the last year. It calls for better pensions,9
 officials have warned.  The Sri Lanka Banks Association said the waves which killed more than 30,1
 BNP Paribas,6
 aluminium and iron ore although it excludes the country's oil sector. Chavez has sought to extend the state's role in all sectors of the economy.  The left-wing president is conducting a controversial review of land ownership in the country while also seeking to create a state-run telecoms firm to compete with foreign-owned businesses.  He has argued that major economic reforms are vital to improve the lives of Venezuela's poorest citizens. Announcing the review of raw material production,6
 leading pension researchers have said.  The Pensions Policy Institute (PPI) said life expectancy for unskilled and professional men has been understated. Life expectancy at birth is 71 years for a manual worker and 79 years for a professional - a gap of eight years. But if measured at age 65 instead,4
 research suggests.  A survey of 280 schemes by Incomes Data Services' (IDS) said employer contributions had increased from £5.5bn to £8.2bn a year,9
 a report indicates.  Research from Halifax,6
 according to a report.  Optimism is at its highest since 1997 and business will reap the benefits of a continuing rise in public spending,6
 he said. But the US says it cannot support Mr Brown's International Finance Facility to boost aid to developing countries. BBC correspondents said the meeting had produced some movement towards the UK's ambitions,1
" but Manchester United have confirmed they have received a ""detailed proposal"" from the US entrepreneur which could lead to a bid. Reports have put the offer at 300p per share",1
 we're taking a long hard look at your offices.  Over the next few months,4
 a blizzard of photos and interviews seemed to add up to an unambiguous tale of woe.  The ship had another slice of bad luck to add to its history of health scares and technical trouble. And its owner,6
 which tends to be critical of the President,6
 his closest associate has told a US court.  Giving evidence in the criminal trial of Mr Ebbers,9
 an increase of 4% on the previous year. Growth came mainly from outside western Europe,6
 less than 1% up on the year before. Chinese PC sales have risen by a fifth in each of the past two years,6
 the second-largest US long-distance phone firm,9
" Ofcom offered BT the choice of change or splitting into two. Ofcom is carrying out a strategic review aimed at promoting greater competition in the UK telecom sector. BT's competitors have frequently accused it of misusing its status as the former telecoms monopoly and controller of access to many customers to favour its own retail arm.  This latest submission was delivered to the watchdog ahead of a deadline for the second phase of its review.  ""Central to the proposals are plans by BT to offer operators lower wholesale prices",4
 but a fall in jobseekers pushed the unemployment rate to its lowest level in three years.  According to Labor Department figures,6
 the media company controlled by Australian billionaire Rupert Murdoch,0
 its best performance since 2000,6
" 60% of its total annual budget. The government's main problems are ""slumping consumption and a contraction in the construction industry"". It aims to create 400",6
 former British government minister Michael Heseltine once said,6
"000 people have been killed following a massive underwater earthquake and many of the worst hit areas are popular tourist destinations. Reisurance firms such as Swiss Re and Munich Re lost value as investors worried about rebuilding costs. But the disaster has little impact on stock markets in the US and Asia.  Currencies including the Thai baht and Indonesian rupiah weakened as analysts warned that economic growth may slow. ""It came at the worst possible time",6
 the UK's financial watchdog has announced.  Eighteen investment firms involved in the sale of the investments agreed the compensation package with the Financial Services Authority (FSA). Splits were marketed as a low-risk way to benefit from rising share prices. But when the stock market collapsed in 2000,6
" professional and friendly"" talks with the LSE. But Euronext declined to comment after the talks ended on Friday. Speculation is mounting that the Germans may raise their bid to £1.5bn. Deutsche Boerse previously offered £1.3bn",6
 the London Stock Exchange (LSE) has said.  Air China plans to raise $1bn (£514m) from the flotation. Share trading will begin on 15 December,6
 closing at three-month lows after news that US crude stocks have improved ahead of winter.  London Brent crude closed at $40.15 on Thursday - a drop of 5.1% - having dived below $40 a barrel for the first time since mid-September. US light crude traded in New York lost more than $2 to $43.25,6
" he said a full listing was ""one of the options"" for funding after the club moves to its new stadium. The club - which is currently listed on the smaller Ofex share exchange - is due to move into its new 60",2
997 points on Friday,6
 its steepest fall in three months. G20 finance ministers said nothing about supporting the dollar,6
 National Thermal Power Corp (NTPC) have risen 13% on their stock market debut.  The government's partial sell-off of NTPC is part of a controversial programme to privatise state-run firms. The 865 million share offer,6
 Turkey has dressed its economy to impress.  As part of a charm offensive - ahead of 17 December,6
800 jobs following its $16bn (£8.5bn) takeover of former parent AT&T.  SBC said 5,9
" professional and friendly"" talks with the London Stock Exchange (LSE)",6
"488.76 points. In 2005 it ""will rise toward 13",6
" poor social services and poverty has been made worse by a lack of investment. So there is much hope that an elected government will break the deadlock. ""First rule of law",6
 a report says.  The study,6
 faster than predicted and well above 2003's 9.1%.  The news may mean more limits on investment and lending as Beijing tries to take the economy off the boil. China has sucked in raw materials and energy to feed its expansion,6
 then went on to run his own clothing business before marrying in his late thirties. And the 101-year-old Torao Toshitsune has eaten raw fish pretty much every day throughout his life.  Mr Toshitsune is one of Japan's 23,6
 in a widely-predicted move.  Rates went up five times from November 2003 - as the bank sought to cool the housing market and consumer debt - but have remained unchanged since August. Recent data has indicated a slowdown in manufacturing and consumer spending,6
 but the Justice Department has not said if it will appeal. Among the accused were Altria Group,6
 which could lead to a bid valuing the Premiership club at £800m.  The US tycoon,1
137,6
 Judge Letitia Clark said the hearing would continue on Thursday when arguments in the case would be heard. Russian authorities are due to auction off Yuganskneftegas on 19 December to pay a huge tax bill sent to Yukos.  Russian prosecutors are forcing the sale of the firm's most lucrative asset Yuganskneftegas to help pay a $27bn (£14bn) back tax bill,6
 while the company is also battling fierce competition from generic products. Meanwhile,9
 assets which had previously been frozen for almost 20 years,6
 who was also Bombardier's president,6
 typhoons and earthquakes has made 2004 the most expensive year on record for property insurers,6
 Scottish and Newcastle (S&N),6
 UK media reports say.  Last week,6
"500 thousand vehicles had arrived at the centre on Saturday before 1130 GMT. ""We predict that the next week will continue the same trend",9
 agreeing to pay 260.75bn roubles (£4.8bn; $9.4bn). Russia's newspapers claimed that Baikal was a front for gas monopoly Gazprom,6
" LSE said. Talks with the European stock market and with rival bidder Deutsche Boerse will continue, the LSE said. Last week, the group rejected a £1.3bn ($2.5bn) takeover offer from Deutsche Boerse, claiming that it undervalued the business. LSE saw its shares surge 4.9% to a new high of 583p in early trade, following the announcement on Monday.  The offer follows widespread media speculation that Euronext would make an offer for LSE. Experts now widely expect a bidding war for Europe's biggest stock market, which lists stocks with a total capitalisation of £1.4 trillion, to break out. Commentators say that a deal with Euronext, which owns the Liffe derivatives exchange in London and combines the Paris, Amsterdam and Lisbon stock exchanges, could potentially offer the LSE more cost savings than a deal with Deutsche Boerse.  A weekend report in the Telegraph had quoted an unnamed executive at Euronext as saying the group would make a cash bid to trump Deutsche Boerse's offer. Because we already own Liffe in London",9
 whose purpose is to promote free trade. Joining,9
 the world's biggest spirits company,6
 the little-known firm which has bought its main asset.  Yukos has said it will sue Baikal and others involved in the sale of Yuganskneftegas for $20bn in damages. Yukos' US lawyers will attempt to have Baikal assets frozen after the Russian government ignored a US court order last week blocking the sale. Baikal's background and its motives for buying the unit are still unclear.  Russian newspapers have claimed that Baikal - which bought the Yuganskneftegas production unit for $9.4bn (261bn roubles,6
 a former senior official in the Clinton administration,6
" the Royal Institute of Chartered Surveyors found.  A total of 48% of chartered surveyor estate agents reported lower prices in the three months to November - the highest level in 12 years. Meanwhile the number of sales dropped 32% to an average of 22 per surveyor. The amount of unsold properties on their books rose for the sixth month in a row to an average of 67 properties. ""The slowdown occurring in the market has given buyers more power to negotiate",6
 but has agreed to refrain from any future violations of securities law. Disney failed to tell investors that between 1999 and 2001 it employed three adult children of three then directors. The firm has neither admitted nor denied wrongdoing in the settlement.  The three Disney directors in question in the central matter of the SEC's investigation - Reveta Bowers,9
 saying it followed free market principles.  Vladimir Putin said it was quite within the rights of a state-owned company to ensure its interests were met. Rosneft bought 100% of Baikal Finance Group,6
 the firm has said.  The Securities and Exchange Commission has asked for information about transactions involving holders of 5% or more of the firm's shares. Marsh has said it is co-operating fully with the SEC investigation. Marsh is also the focus of an inquiry the New York attorney-general into whether insurers rigged the market. Since that inquiry was launched in October,9
 Pentagon officials have said.  Contrack International,6
 at $120m each,9
 resulting from her sacking in August 2003. Her partial victory is likely to cap her compensation to about £55,7
 the inquiry found that the company had misled the public about the amount of money set aside to cover its asbestos-related liabilities,6
000 passengers stranded and 10,6
 to counter the effects of a power struggle in the controlling family.  The buy-back is a victory for chairman Mukesh Ambani,6
 rather than 6% as forecast before tsunamis hit six tourist provinces. The full economic costs of the disaster remain unclear. In part,6
 with tourism seeing a strong rebound,9
" 60% of its total annual budget. The government's main problems are ""slumping consumption and a contraction in the construction industry"". It aims to create 400",6
 signed in 2000,6
 the governmental Chilean Copper Commission (Cochilco) has reported.  Strong demand from China's fast-growing economy and high prices have fuelled production,9
 an influential survey says.  The feel-good factor among US consumers rose in December for the first time since July according to new data. The Conference Board survey of 5,6
 according to the Association for Payment Clearing Services (Apacs) Apacs chose school teacher Helen Carroll,9
 Bulgaria and Macedonia has given the go ahead for the construction of a $1.2bn oil pipeline that will pass through the Balkan peninsula.  The project aims to allow alternative ports for the shipping of Russian and Caspian oil,6
 Nasdaq Stock Market plans to raise $100m (£52m) from the sale. Some observers see this as another step closer to a full public listing. However Nasdaq,9
 against Xstrata's bid of A$6.35 a share. Analysts said the defence documents provided more details on WMC,6
 leading economists have warned.  With the Pension Benefit Guaranty Corporation (PBGC) some £23bn (£12m) in deficit,6
 its best performance since 2000,6
 the world's largest ski-maker,9
 trading has been volatile over the past week because of technical and automated trading and light demand. This has amplified reactions to news,6
 a family owned conglomerate,6
 but said it had yet to make a final decision.  The German giant said it was studying the possibility of opening an assembly plant in the country,9
 which has large coal deposits but no gas fields. Turkmenistan is also trying to strike a similar deal with Russia,6
 the younger of the two brothers in charge of India's largest private company,9
 a move it hopes will stoke competition and drive down prices.  However,6
 according to the Federal Reserve.  Minutes of the December meeting which pushed rates up to 2.25% showed that policy-makers at the Fed are worried about accelerating inflation. The clear signal pushed the dollar up to $1.3270 to the euro by 0400 GMT on Wednesday,6
" the company said. The High Street retailer said it now expected to report annual profits of between £415m and £425m ($779m-798m). Next's shares fell more than 3% following the release of the trading statement.  Next chief executive Simon Wolfson admitted that festive sales were below where we would expect a normal Christmas to be""",6
 hoping to use international business law to halt the forced sale of its key oil production unit,6
 presently a non-executive director of the company and head of a Malaysian retailer.  In a statement issued on Thursday,9
200 flight attendants at bankrupt US Airways have agreed to a new contract that cuts pay by nearly 10%.  The deal will help the carrier,9
 including United,6
000 of its people,6
 Oil & Natural Gas Corp (ONGC),6
000) fine for bribing an Indonesian official.  Monsanto admitted one of its employees paid the senior official two years ago in a bid to avoid environmental impact studies being conducted on its cotton. In addition to the penalty,9
" Marsh said in a statement. The company added it would continue to co-operate in the case, adding it was committed to resolving the company's legal issues and to serving our clients with the highest standards of transparency and ethics"".  According to a statement from Mr Spitzer's office",9
 the world's biggest,6
 including $18m from their own pockets,6
 including BMW,6
 equal to 10% of its share capital. Standard Chartered expects about 16% of future group revenue to come from KFB.  The South Korean bank will also make up 22% of the group's total assets. The move,6
 as solid Chrysler sales offset a weak showing for Mercedes.  Sales totalled 3.9 million units worldwide during 2004,9
 after the country doubled the likely cost of rebuilding from the Asian tsunami.  The fall came as Indonesia said it expected debt repayments of up to 30 trillion rupiah ($3.2bn; £1.7bn) to be frozen to help pay for the recovery. By Monday's close,6
 the EC did warn the two were under close scrutiny and it would act if their fiscal situations deteriorated. Under EU rules,6
 the University of California,6
 the Office of the Deputy Prime Minister (ODPM) has said.  The average house price fell marginally to £180,6
 but analysts said that the dip in hiring was not enough to derail the world's biggest economy.  According to Labor Department figures,6
 valued at $180bn (£96bn). Barclays has declined to comment on the report in the Sunday Express,6
000) to the ex-finance chief who stepped down from her post in April 2004 after the firm over-stated its reserves.  Judy Boynton finally left the firm on 31 December,9
 eager to gain access to energy supplies to meet the demands of a booming economy,9
 newspaper reports claim.  The Sunday Telegraph said the LSE's plan was further evidence it wants to retain tight control over its destiny. Both Deutsche Boerse and rival Euronext held talks with the London market last week over a possible offer. A £1.3bn offer from Deutsche Boerse has already been rejected,6
 its broadcasting subsidiary,9
 vice chairman of banking giant Citigroup,9
 EU Trade Commissioner Peter Mandelson has announced.  Both sides hope to reach a negotiated deal over state aid received by European aircraft maker Airbus and its US rival Boeing,6
" a senior government figure has warned.  Economy minister German Gref told the Kommersant newspaper that direct state involvement in oil was ""unjustified"". His comments follow the sale of much of oil giant Yukos to cover back taxes - a deal which effectively took most of the firm's assets into public ownership. On 28 December",6
 the yuan,6
 surging 3.5% to a new high.  The index rose 225.79 points in four hours of furious trading,6
 hitting record levels after higher oil prices raised import costs,6
 research suggests.  Research group JD Power estimates sales will hit 200,6
088 pence on Tuesday after the UK firm announced a fresh gas discovery in northern India.  The firm,6
 the Asian Development Bank (ADB) has said.  In its first overview of the disaster,6
 sparking rumours of a possible takeover.  Fosters bought 18.8% of Southcorp,6
 analysts said. Despite signs of pick-up,6
 China,6
 in a widely-predicted move.  Rates went up five times from November 2003 - as the bank sought to cool the housing market and consumer debt - but have remained unchanged since August. Recent data has indicated a slowdown in manufacturing and consumer spending,6
 the biggest among the 12 countries sharing the euro,6
 an all-time record.  Figures from the Commerce Department for November showed exports down 2.3% to $95.6bn,6
 helped by a 7.5% rise in exports outside the European Union.  According to the Office for National Statistics,6
 leaving 6,6
 which covers advertising on TV,6
 Aer Lingus,9
 which it says are inconsistent and hamper trade.  The EU's own institutions have noted the uneven way EU customs rules are applied but failed to act,0
 alleging they created false accounts. Ahold hit the headlines in February 2003 after it emerged that there were accounting irregularities at its US subsidiary Foodservice. Three former Ahold top executives last year agreed to settle fraud charges.  Ahold has admitted that it fraudulently inflated promotional allowances at Foodservice,9
 benefits package and promotion strategy. Meanwhile,6
 boosted by strong car sales.  Seasonally adjusted sales rose 1.2% in the month,6
 albeit at a slower pace than the previous month.  The US Federal Reserve said output from factories,6
 the biggest gas company in the world,6
 Mr Schroeder also said heads of government should have a greater say in reforms. Changes to the pact are due to be agreed at an economic summit in March.  The current EU rules limit the size of a eurozone country's deficit to 3% of GDP. Countries which exceed the threshold are liable to heavy fines by the European Commission,1
000 people lost money following the firm's collapse. Mr Tanzi,9
 City consultancy Deloitte has warned.  The UK economy could suffer a backlash from the slowdown in the housing market,6
 and there are now two and a half million cars on the city's roads. The trouble is that the high status of car ownership is matched by expensive fees at indoor car parks,6
 extending its ongoing financial support until 2007.  Turkey's current $18.6bn loan agreement with the IMF expires in February and the new deal would see it receive added support between 2005 and 2007. In return for the funding,6
 which includes the nearby Simpson's in the Strand restaurant,9
 the International Monetary Fund (IMF) said damage from the tsunami would cut one percentage point from Sri Lanka's economic growth this year. It estimated the wave left physical damage equal to 6.5% of the economy.  Separately,6
 including two at the Three Gorges Dam,6
 its boss and another top executive.  It believes the prospectus for a bond issue was unclear and that executives may have had privileged information. AMF has begun proceedings against Vivendi,6
 changing hands at 372 riyals ($99; £53) after topping 400 early in the day. Demand for the insurer's debut shares was strong - 12 times what was on sale. The listing was part of the country's plans to open up its insurance market and boost demand in the sector. Deregulation is expected to boost demand for accident and damage cover.  Previously,9
 but were linked to Bank One,9
 the two countries have signed a trade protocol with the US,6
 the US car company,6
 new research says.  The finding comes in a report published on Thursday by the World Economic Forum,6
 Ambuja Cement Eastern and the holding firm,9
 Reliance Group,9
000 business and political leaders from around the globe are arriving in the Swiss mountain resort Davos for the annual World Economic Forum (WEF). For five days,1
 officials said on Tuesday.  The cost of military operations still needs to be factored in,6
 with 4bn euros-worth then bought back later. The move was widely criticised at the time,9
 according to the government.  The Brazilian Institute for Geography and Statistics (IBGE) said it fell to 9.6% in December from 10.6% in November and 10.9% in December 2003. IBGE also said that average monthly salaries grew 1.9% in December 2004 from December 2003. However,6
" William Donaldson promised ""several initiatives"". European firms have protested that US laws introduced after the Enron scandal make Wall Street listings too costly. The US regulator said foreign firms may get extra time to comply with a key clause in the Sarbanes-Oxley Act.  The Act comes into force in mid-2005. It obliges all firms with US stock market listings to make declarations",6
 a majority in 14 countries said they were positive about the future. Almost 23,6
 which could help counteract huge deficits,6
 controlled by France's Suez,6
 local press reports.  Demonstrators in a number of regions blocked roads,6
 up 27% from the same 2004 period. Maruti accounts for half of India's domestic car sales,6
000 business and political leaders from around the globe will listen to UK Prime Minister Tony Blair's opening speech on Wednesday. Mr Blair will focus on Africa's development plans and global warming. Earlier in the day came an update on efforts to have 3 million people on anti-Aids drugs by the end of 2005. The World Health Organisation (WHO) said 700,6
 according to numbers released by Japan's Finance Ministry on Wednesday.  China accounted for 20.1% of Japan's trade in 2004,6
 the chairman of Spain's most powerful bank,9
